date,location,crime_type,perp_age,perp_gender,perp_occupation,motive,status
2024-09-08,Sumatera Utara,Penipuan,35,Laki-laki,Sopir,Konflik Personal,Selesai
2020-11-15,Sulawesi Utara,Penyalahgunaan Narkoba,26,Laki-laki,Perawat,Dendam,Selesai
2020-09-02,Sumatera Utara,Kekerasan Dalam Rumah Tangga,29,Laki-laki,TNI,Dendam,Selesai
2023-10-16,Bali,Perampokan,21,Laki-laki,Tukang,Gangguan Mental,Selesai
2023-06-11,Jawa Timur,Penipuan,24,Laki-laki,Tidak Bekerja,Provokasi,Dalam Proses
2020-03-27,Jambi,Perampokan,19,Laki-laki,Polisi,Gangguan Mental,Selesai
2022-01-30,Sumatera Barat,Penyalahgunaan Narkoba,21,Perempuan,Sopir,Konflik Personal,Dalam Proses
2022-10-05,Jawa Tengah,Penipuan,19,Laki-laki,TNI,Keserakahan,Selesai
2024-11-14,Jawa Tengah,Pencurian,38,Perempuan,Pegawai Swasta,Gangguan Mental,Belum Terselesaikan
2021-01-09,Jawa Barat,Pencurian,21,Laki-laki,Perawat,Provokasi,Selesai
2021-07-27,Jawa Barat,Perampokan,33,Perempuan,Mahasiswa,Kecanduan,Selesai
2024-03-16,Jawa Tengah,Pencurian,32,Perempuan,Sopir,Cemburu,Dalam Proses
2020-04-20,Sulawesi Utara,Pencurian,44,Laki-laki,Wiraswasta,Tekanan Sosial,Dalam Proses
2022-09-06,Jawa Timur,Kekerasan Dalam Rumah Tangga,30,Laki-laki,Wiraswasta,Ekonomi,Belum Terselesaikan
2022-10-26,Jawa Tengah,Kekerasan Dalam Rumah Tangga,28,Laki-laki,PNS,Tekanan Sosial,Selesai
2024-10-28,Sulawesi Selatan,Penipuan,30,Laki-laki,Tukang,Cemburu,Dalam Proses
2022-07-25,DKI Jakarta,Pembunuhan,27,Laki-laki,Buruh,Pengaruh Lingkungan,Selesai
2022-11-27,DKI Jakarta,Penganiayaan,18,Laki-laki,Pelajar,Konflik Personal,Dalam Proses
2023-11-12,DKI Jakarta,Penipuan,31,Laki-laki,Tidak Bekerja,Ekonomi,Selesai
2023-10-12,Kalimantan Timur,Perampokan,25,Laki-laki,Petani,Tekanan Sosial,Selesai
2023-04-04,Maluku,Pencurian,26,Laki-laki,Buruh,Konflik Personal,Selesai
2022-01-10,Sumatera Selatan,Penyalahgunaan Narkoba,35,Laki-laki,Sopir,Kebutuhan Mendesak,Selesai
2021-01-18,Jawa Tengah,Penyalahgunaan Narkoba,30,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Selesai
2021-04-30,Kalimantan Timur,Penyalahgunaan Narkoba,29,Perempuan,Pegawai Swasta,Gangguan Mental,Selesai
2023-06-09,Kalimantan Timur,Korupsi,35,Laki-laki,PNS,Konflik Personal,Dalam Proses
2021-01-11,Kalimantan Selatan,Pencurian,19,Perempuan,Pelajar,Tekanan Sosial,Dalam Proses
2021-03-07,DKI Jakarta,Pencurian,29,Laki-laki,Mahasiswa,Pengaruh Lingkungan,Selesai
2024-03-20,DKI Jakarta,Penganiayaan,21,Perempuan,PNS,Konflik Personal,Belum Terselesaikan
2024-10-15,Sulawesi Selatan,Pembunuhan,26,Laki-laki,Mahasiswa,Kebutuhan Mendesak,Selesai
2022-07-12,Jawa Barat,Perampokan,28,Perempuan,Pedagang,Keserakahan,Dalam Proses
2020-09-25,Jawa Timur,Penipuan,28,Laki-laki,Sopir,Ketidaktahuan Hukum,Selesai
2021-04-13,Kalimantan Timur,Penipuan,44,Laki-laki,Polisi,Dendam,Selesai
2024-01-16,Sumatera Utara,Penipuan,42,Perempuan,Pegawai Swasta,Kecanduan,Selesai
2023-02-11,Sumatera Selatan,Korupsi,20,Perempuan,Mahasiswa,Tekanan Sosial,Dalam Proses
2021-02-05,DKI Jakarta,Pencurian,20,Laki-laki,Pedagang,Pengaruh Lingkungan,Dalam Proses
2020-11-02,Kalimantan Selatan,Pemerkosaan,19,Laki-laki,Pelajar,Ekonomi,Belum Terselesaikan
2020-12-27,Sumatera Barat,Perampokan,21,Laki-laki,Mahasiswa,Gangguan Mental,Selesai
2020-10-02,DKI Jakarta,Penganiayaan,20,Perempuan,TNI,Ketidaktahuan Hukum,Dalam Proses
2022-11-24,Jawa Timur,Perampokan,33,Laki-laki,Wiraswasta,Pengaruh Lingkungan,Dalam Proses
2021-10-08,Sulawesi Selatan,Kekerasan Dalam Rumah Tangga,19,Laki-laki,Perawat,Gangguan Mental,Selesai
2021-09-06,Kalimantan Timur,Korupsi,15,Laki-laki,Pegawai Swasta,Provokasi,Selesai
2024-10-24,Jawa Tengah,Penganiayaan,20,Perempuan,Sopir,Ekonomi,Selesai
2022-03-26,Sumatera Barat,Perampokan,21,Laki-laki,Buruh,Pengaruh Lingkungan,Dalam Proses
2020-11-30,Kalimantan Timur,Penyalahgunaan Narkoba,15,Perempuan,Tidak Bekerja,Kecanduan,Dalam Proses
2024-07-24,Jawa Tengah,Pencurian,22,Laki-laki,Pegawai Swasta,Gangguan Mental,Selesai
2024-09-14,Sumatera Barat,Pencurian,37,Laki-laki,Tukang,Dendam,Dalam Proses
2022-07-10,Kalimantan Selatan,Pencurian,21,Perempuan,Guru,Konflik Personal,Dalam Proses
2021-06-16,Jawa Timur,Pencurian,34,Laki-laki,PNS,Konflik Personal,Selesai
2023-02-21,Kalimantan Timur,Penipuan,28,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Dalam Proses
2021-12-05,Sumatera Utara,Pembunuhan,34,Laki-laki,Tidak Bekerja,Tekanan Sosial,Dalam Proses
2020-09-05,Maluku,Pencurian,39,Laki-laki,PNS,Ketidaktahuan Hukum,Selesai
2023-05-25,Sulawesi Selatan,Perampokan,32,Laki-laki,Petani,Keserakahan,Selesai
2023-03-25,Jawa Barat,Pencurian,23,Laki-laki,Tukang,Ketidaktahuan Hukum,Selesai
2023-01-07,DKI Jakarta,Pencurian,28,Perempuan,Pedagang,Kebutuhan Mendesak,Selesai
2021-12-28,Sumatera Barat,Pencurian,26,Perempuan,PNS,Ketidaktahuan Hukum,Belum Terselesaikan
2022-11-11,Kalimantan Timur,Pencurian Kendaraan Bermotor,31,Laki-laki,Pelajar,Pengaruh Lingkungan,Selesai
2022-07-04,Jawa Barat,Penipuan,31,Laki-laki,TNI,Dendam,Selesai
2022-02-19,Jawa Tengah,Penganiayaan,31,Perempuan,Sopir,Kebutuhan Mendesak,Dalam Proses
2022-08-07,Kalimantan Timur,Penganiayaan,16,Laki-laki,Tukang,Cemburu,Selesai
2024-11-13,Nusa Tenggara Barat,Pencurian,29,Laki-laki,Pedagang,Ketidaktahuan Hukum,Selesai
2024-07-12,DKI Jakarta,Pencurian,25,Laki-laki,TNI,Konflik Personal,Selesai
2022-05-13,Kalimantan Timur,Pembunuhan,35,Laki-laki,Tukang,Keserakahan,Selesai
2023-03-16,Jawa Barat,Penyalahgunaan Narkoba,25,Laki-laki,Mahasiswa,Dendam,Dalam Proses
2020-06-11,Sulawesi Selatan,Penganiayaan,32,Laki-laki,Pedagang,Konflik Personal,Selesai
2021-04-12,Kalimantan Selatan,Penyalahgunaan Narkoba,29,Laki-laki,PNS,Konflik Personal,Selesai
2023-08-30,Sumatera Utara,Penipuan,27,Laki-laki,Pegawai Swasta,Pengaruh Lingkungan,Belum Terselesaikan
2021-07-01,Jawa Barat,Penipuan,40,Laki-laki,Sopir,Ketidaktahuan Hukum,Dalam Proses
2022-03-20,DKI Jakarta,Kekerasan Dalam Rumah Tangga,15,Laki-laki,Pegawai Swasta,Gangguan Mental,Selesai
2024-05-18,Sulawesi Selatan,Pencurian Kendaraan Bermotor,22,Laki-laki,Polisi,Konflik Personal,Belum Terselesaikan
2024-03-11,Sulawesi Utara,Penganiayaan,22,Laki-laki,Sopir,Provokasi,Selesai
2022-07-11,Kalimantan Timur,Pencurian,42,Perempuan,Mahasiswa,Cemburu,Dalam Proses
2021-01-11,Jawa Barat,Penipuan,48,Laki-laki,Polisi,Ekonomi,Selesai
2020-09-13,Jawa Tengah,Pencurian,24,Laki-laki,Guru,Kecanduan,Selesai
2023-09-17,Sulawesi Selatan,Pencurian Kendaraan Bermotor,31,Laki-laki,Pegawai Swasta,Pengaruh Lingkungan,Selesai
2023-12-06,Jawa Barat,Penyalahgunaan Narkoba,15,Perempuan,Guru,Dendam,Selesai
2021-03-07,Sulawesi Selatan,Pencurian,21,Laki-laki,Pedagang,Tekanan Sosial,Selesai
2020-07-29,Jawa Timur,Penipuan,25,Laki-laki,Buruh,Dendam,Dalam Proses
2024-12-04,Papua,Penipuan,23,Perempuan,Pelajar,Provokasi,Selesai
2020-04-20,Sumatera Utara,Pencurian,21,Laki-laki,Tidak Bekerja,Tekanan Sosial,Selesai
2022-12-09,Maluku,Pemerkosaan,28,Laki-laki,Perawat,Dendam,Selesai
2020-07-31,Bali,Penganiayaan,21,Laki-laki,Pegawai Swasta,Keserakahan,Selesai
2020-11-14,Sulawesi Utara,Penyalahgunaan Narkoba,16,Laki-laki,Buruh,Ketidaktahuan Hukum,Belum Terselesaikan
2024-12-18,Sumatera Utara,Penipuan,26,Laki-laki,Mahasiswa,Kebutuhan Mendesak,Dalam Proses
2021-04-14,Jawa Tengah,Pencurian,42,Perempuan,Petani,Pengaruh Lingkungan,Belum Terselesaikan
2021-08-04,Jawa Timur,Pencurian,35,Perempuan,Pelajar,Ketidaktahuan Hukum,Selesai
2020-09-15,Sumatera Selatan,Penyalahgunaan Narkoba,16,Perempuan,Pedagang,Provokasi,Dalam Proses
2024-09-13,Sumatera Barat,Penganiayaan,29,Laki-laki,Pedagang,Ekonomi,Selesai
2020-03-12,Jawa Tengah,Penipuan,29,Laki-laki,Tukang,Konflik Personal,Belum Terselesaikan
2024-10-28,Jawa Timur,Pencurian,44,Laki-laki,TNI,Konflik Personal,Belum Terselesaikan
2024-11-04,Nusa Tenggara Barat,Pencurian,25,Laki-laki,Pelajar,Gangguan Mental,Dalam Proses
2024-11-18,Bali,Penganiayaan,32,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Dalam Proses
2023-01-28,Sulawesi Selatan,Korupsi,31,Perempuan,Pelajar,Cemburu,Selesai
2023-11-29,Bali,Penganiayaan,28,Laki-laki,Wiraswasta,Cemburu,Dalam Proses
2023-04-25,DKI Jakarta,Penganiayaan,25,Laki-laki,Sopir,Gangguan Mental,Belum Terselesaikan
2023-07-16,Jawa Timur,Penipuan,31,Laki-laki,Guru,Ketidaktahuan Hukum,Selesai
2024-12-01,Sumatera Selatan,Pembunuhan,38,Laki-laki,Sopir,Tekanan Sosial,Selesai
2022-12-08,Kalimantan Timur,Penyalahgunaan Narkoba,26,Laki-laki,Tukang,Ketidaktahuan Hukum,Selesai
2022-12-29,Jawa Barat,Penipuan,35,Laki-laki,Pegawai Swasta,Konflik Personal,Dalam Proses
2022-09-13,Jawa Tengah,Penipuan,18,Laki-laki,Wiraswasta,Kecanduan,Selesai
2024-07-06,Nusa Tenggara Barat,Pencurian,37,Laki-laki,Buruh,Gangguan Mental,Selesai
2021-09-22,Jawa Timur,Penyalahgunaan Narkoba,26,Perempuan,PNS,Tekanan Sosial,Belum Terselesaikan
2021-06-16,Jawa Tengah,Kekerasan Dalam Rumah Tangga,24,Laki-laki,Pedagang,Kebutuhan Mendesak,Selesai
2020-01-22,Jawa Timur,Perampokan,32,Laki-laki,Tidak Bekerja,Provokasi,Selesai
2024-07-27,Sumatera Utara,Pencurian Kendaraan Bermotor,23,Perempuan,Perawat,Cemburu,Dalam Proses
2021-12-05,DKI Jakarta,Pencurian,35,Laki-laki,Pegawai Swasta,Gangguan Mental,Dalam Proses
2022-12-31,Jawa Barat,Penganiayaan,33,Perempuan,Tidak Bekerja,Pengaruh Lingkungan,Selesai
2022-10-04,Sumatera Utara,Pencurian,25,Perempuan,Perawat,Gangguan Mental,Selesai
2021-09-05,DKI Jakarta,Pencurian,32,Laki-laki,Tidak Bekerja,Tekanan Sosial,Belum Terselesaikan
2024-06-22,Jawa Timur,Pencurian,26,Perempuan,Pegawai Swasta,Keserakahan,Selesai
2021-04-18,Maluku,Penipuan,25,Laki-laki,Perawat,Ekonomi,Dalam Proses
2023-01-27,Kalimantan Selatan,Pencurian,24,Perempuan,PNS,Kecanduan,Dalam Proses
2022-04-23,Bali,Penganiayaan,30,Laki-laki,TNI,Provokasi,Belum Terselesaikan
2022-06-14,Aceh,Penyalahgunaan Narkoba,27,Laki-laki,Mahasiswa,Kecanduan,Selesai
2020-11-30,DKI Jakarta,Pencurian,23,Laki-laki,Guru,Pengaruh Lingkungan,Selesai
2023-08-15,Jawa Timur,Pencurian,21,Laki-laki,Mahasiswa,Tekanan Sosial,Dalam Proses
2021-03-27,Sumatera Barat,Penipuan,36,Laki-laki,Pegawai Swasta,Dendam,Dalam Proses
2022-05-14,Aceh,Pembunuhan,31,Laki-laki,Tukang,Kecanduan,Dalam Proses
2022-11-24,Jawa Barat,Penganiayaan,28,Perempuan,Perawat,Keserakahan,Selesai
2024-07-11,Jambi,Penganiayaan,31,Laki-laki,Guru,Ketidaktahuan Hukum,Selesai
2021-07-10,Jawa Tengah,Pencurian,23,Perempuan,Pegawai Swasta,Ketidaktahuan Hukum,Selesai
2024-03-01,Jawa Barat,Kekerasan Dalam Rumah Tangga,34,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Dalam Proses
2022-04-25,Sumatera Selatan,Penganiayaan,30,Laki-laki,Petani,Dendam,Belum Terselesaikan
2021-01-08,Jawa Barat,Penganiayaan,32,Perempuan,Pedagang,Kebutuhan Mendesak,Dalam Proses
2020-08-14,Sulawesi Utara,Penyalahgunaan Narkoba,21,Laki-laki,Tukang,Gangguan Mental,Dalam Proses
2023-06-19,Jawa Barat,Pencurian,23,Laki-laki,Pelajar,Kebutuhan Mendesak,Belum Terselesaikan
2023-12-05,Kalimantan Timur,Penipuan,23,Laki-laki,Sopir,Gangguan Mental,Selesai
2021-01-19,Nusa Tenggara Barat,Kekerasan Dalam Rumah Tangga,18,Laki-laki,PNS,Ekonomi,Selesai
2020-11-07,Jawa Tengah,Penganiayaan,22,Laki-laki,Tidak Bekerja,Provokasi,Dalam Proses
2020-02-15,Kalimantan Selatan,Penyalahgunaan Narkoba,20,Laki-laki,Pedagang,Dendam,Belum Terselesaikan
2021-07-31,Riau,Pencurian,29,Laki-laki,Pegawai Swasta,Cemburu,Selesai
2024-01-04,Sumatera Barat,Penganiayaan,15,Laki-laki,Pelajar,Pengaruh Lingkungan,Selesai
2020-01-17,Aceh,Pencurian,25,Laki-laki,Petani,Dendam,Selesai
2020-11-04,DKI Jakarta,Pencurian,28,Laki-laki,Tidak Bekerja,Gangguan Mental,Selesai
2021-03-20,Kalimantan Selatan,Pencurian,19,Laki-laki,PNS,Tekanan Sosial,Selesai
2021-09-30,Kalimantan Timur,Kekerasan Dalam Rumah Tangga,32,Perempuan,Perawat,Gangguan Mental,Selesai
2022-01-30,Nusa Tenggara Barat,Pencurian,21,Laki-laki,Pelajar,Pengaruh Lingkungan,Dalam Proses
2024-06-08,Maluku,Penyalahgunaan Narkoba,26,Perempuan,Tidak Bekerja,Konflik Personal,Dalam Proses
2020-06-13,Jawa Tengah,Pencurian,26,Perempuan,Polisi,Cemburu,Selesai
2020-04-24,Sumatera Barat,Penganiayaan,26,Laki-laki,Pegawai Swasta,Tekanan Sosial,Selesai
2020-05-26,Jawa Tengah,Pencurian,18,Laki-laki,Wiraswasta,Gangguan Mental,Dalam Proses
2021-01-06,Sumatera Barat,Penipuan,24,Laki-laki,Petani,Kebutuhan Mendesak,Dalam Proses
2024-07-31,Jawa Barat,Perampokan,24,Laki-laki,Mahasiswa,Ekonomi,Selesai
2020-09-06,DKI Jakarta,Pencurian,39,Laki-laki,Perawat,Pengaruh Lingkungan,Selesai
2021-05-24,Sumatera Utara,Pembunuhan,24,Laki-laki,Mahasiswa,Gangguan Mental,Selesai
2021-05-21,Sumatera Barat,Pembunuhan,36,Perempuan,Guru,Ekonomi,Selesai
2021-02-11,Jawa Tengah,Pencurian,28,Laki-laki,Pelajar,Pengaruh Lingkungan,Dalam Proses
2024-04-27,Sumatera Utara,Korupsi,26,Laki-laki,Buruh,Provokasi,Dalam Proses
2023-09-25,Jawa Barat,Pemerkosaan,20,Laki-laki,Petani,Gangguan Mental,Belum Terselesaikan
2022-03-07,DKI Jakarta,Penganiayaan,32,Laki-laki,Tukang,Kebutuhan Mendesak,Dalam Proses
2021-10-23,Sulawesi Utara,Penipuan,30,Perempuan,Pedagang,Ketidaktahuan Hukum,Belum Terselesaikan
2024-01-31,Jawa Timur,Pencurian,27,Laki-laki,Tidak Bekerja,Pengaruh Lingkungan,Dalam Proses
2023-01-30,DKI Jakarta,Penipuan,27,Perempuan,Wiraswasta,Dendam,Selesai
2021-06-02,Kalimantan Timur,Pencurian Kendaraan Bermotor,23,Laki-laki,Pelajar,Ketidaktahuan Hukum,Dalam Proses
2021-09-03,Lampung,Pencurian Kendaraan Bermotor,25,Laki-laki,Petani,Konflik Personal,Dalam Proses
2024-12-22,Kalimantan Selatan,Penyalahgunaan Narkoba,26,Laki-laki,Tidak Bekerja,Ketidaktahuan Hukum,Selesai
2021-03-22,Sumatera Barat,Penganiayaan,24,Laki-laki,Buruh,Kecanduan,Selesai
2023-07-20,Jawa Barat,Penipuan,41,Laki-laki,Mahasiswa,Konflik Personal,Selesai
2020-01-31,DKI Jakarta,Pencurian,21,Laki-laki,Pedagang,Kebutuhan Mendesak,Dalam Proses
2023-04-12,Sumatera Barat,Pencurian Kendaraan Bermotor,37,Laki-laki,Buruh,Tekanan Sosial,Dalam Proses
2024-06-04,Aceh,Pemerkosaan,24,Laki-laki,Petani,Ekonomi,Dalam Proses
2020-03-27,Kalimantan Selatan,Penipuan,20,Laki-laki,Sopir,Pengaruh Lingkungan,Dalam Proses
2022-08-31,Jawa Timur,Pemerkosaan,17,Laki-laki,Guru,Keserakahan,Belum Terselesaikan
2020-11-13,Bali,Penipuan,32,Laki-laki,PNS,Dendam,Selesai
2021-05-24,Sumatera Barat,Pencurian,19,Perempuan,Pedagang,Gangguan Mental,Dalam Proses
2020-07-06,Jawa Tengah,Pencurian,22,Laki-laki,Tukang,Keserakahan,Selesai
2021-11-24,Sumatera Barat,Pembunuhan,40,Laki-laki,TNI,Ketidaktahuan Hukum,Belum Terselesaikan
2020-05-02,Maluku,Penganiayaan,38,Laki-laki,Tidak Bekerja,Konflik Personal,Selesai
2023-08-13,Jawa Barat,Penyalahgunaan Narkoba,20,Laki-laki,Pedagang,Pengaruh Lingkungan,Selesai
2023-01-03,Nusa Tenggara Barat,Penganiayaan,28,Laki-laki,Perawat,Dendam,Selesai
2020-09-14,Sumatera Barat,Penipuan,24,Laki-laki,Pelajar,Kecanduan,Selesai
2021-10-10,Jawa Tengah,Pencurian Kendaraan Bermotor,29,Laki-laki,Wiraswasta,Ketidaktahuan Hukum,Selesai
2024-03-29,Sumatera Utara,Pemerkosaan,40,Perempuan,PNS,Gangguan Mental,Selesai
2024-02-10,Jawa Timur,Penipuan,23,Perempuan,Petani,Ekonomi,Selesai
2023-11-12,Jawa Tengah,Penyalahgunaan Narkoba,15,Laki-laki,Mahasiswa,Konflik Personal,Selesai
2024-01-23,Jawa Timur,Penganiayaan,42,Perempuan,Pedagang,Kebutuhan Mendesak,Selesai
2020-03-21,Bali,Penyalahgunaan Narkoba,24,Laki-laki,Pelajar,Pengaruh Lingkungan,Selesai
2022-06-15,Jawa Timur,Penipuan,33,Laki-laki,Wiraswasta,Kebutuhan Mendesak,Dalam Proses
2023-01-16,Jawa Barat,Pembunuhan,27,Perempuan,Guru,Gangguan Mental,Selesai
2021-01-23,DKI Jakarta,Penyalahgunaan Narkoba,38,Laki-laki,Sopir,Cemburu,Selesai
2023-01-18,Nusa Tenggara Barat,Pencurian Kendaraan Bermotor,38,Laki-laki,PNS,Konflik Personal,Selesai
2024-02-08,Kalimantan Selatan,Penipuan,33,Laki-laki,Pelajar,Kebutuhan Mendesak,Selesai
2024-11-11,Sumatera Selatan,Pencurian,19,Laki-laki,Polisi,Keserakahan,Selesai
2024-10-28,Jawa Barat,Pemerkosaan,31,Laki-laki,Wiraswasta,Cemburu,Selesai
2020-05-21,Sumatera Barat,Penganiayaan,24,Laki-laki,Wiraswasta,Cemburu,Selesai
2022-07-09,Sumatera Selatan,Pemerkosaan,15,Laki-laki,Pegawai Swasta,Kebutuhan Mendesak,Dalam Proses
2023-01-14,DKI Jakarta,Pencurian,27,Laki-laki,PNS,Gangguan Mental,Belum Terselesaikan
2020-01-02,Bali,Perampokan,34,Perempuan,Perawat,Ketidaktahuan Hukum,Selesai
2022-11-02,Sulawesi Utara,Penyalahgunaan Narkoba,30,Laki-laki,Mahasiswa,Pengaruh Lingkungan,Dalam Proses
2021-01-14,Jawa Tengah,Penipuan,30,Laki-laki,TNI,Ekonomi,Belum Terselesaikan
2023-06-23,Jawa Tengah,Penganiayaan,31,Laki-laki,Polisi,Konflik Personal,Dalam Proses
2024-05-08,Bali,Penipuan,27,Laki-laki,Sopir,Kecanduan,Dalam Proses
2021-10-18,Papua,Perampokan,30,Laki-laki,Guru,Dendam,Selesai
2023-09-10,Sulawesi Utara,Pencurian,25,Perempuan,Wiraswasta,Tekanan Sosial,Selesai
2021-01-23,Nusa Tenggara Barat,Pencurian,37,Laki-laki,Wiraswasta,Ketidaktahuan Hukum,Selesai
2022-10-15,Jambi,Penipuan,25,Perempuan,Perawat,Provokasi,Selesai
2020-11-11,Jawa Timur,Perampokan,35,Laki-laki,Sopir,Kebutuhan Mendesak,Dalam Proses
2021-10-22,Jawa Barat,Penipuan,42,Laki-laki,Mahasiswa,Ketidaktahuan Hukum,Selesai
2021-10-21,Jawa Tengah,Penipuan,24,Laki-laki,Buruh,Dendam,Dalam Proses
2022-12-07,Jawa Timur,Pemerkosaan,27,Laki-laki,Tukang,Dendam,Selesai
2020-03-30,Sumatera Selatan,Pencurian,43,Laki-laki,Polisi,Cemburu,Selesai
2020-12-31,Bali,Pencurian,30,Laki-laki,Polisi,Ekonomi,Selesai
2021-02-17,Kalimantan Selatan,Penipuan,39,Laki-laki,Buruh,Gangguan Mental,Dalam Proses
2021-01-27,Jawa Barat,Pencurian,20,Laki-laki,Buruh,Ekonomi,Belum Terselesaikan
2023-03-15,Sumatera Barat,Perampokan,35,Laki-laki,Tukang,Tekanan Sosial,Belum Terselesaikan
2023-09-09,Kalimantan Selatan,Perampokan,15,Laki-laki,Pelajar,Provokasi,Selesai
2023-07-01,Sumatera Utara,Pencurian Kendaraan Bermotor,21,Laki-laki,Guru,Keserakahan,Selesai
2021-06-08,DKI Jakarta,Pemerkosaan,20,Laki-laki,Tidak Bekerja,Konflik Personal,Belum Terselesaikan
2021-03-28,Sulawesi Utara,Penipuan,21,Perempuan,Sopir,Pengaruh Lingkungan,Selesai
2020-05-25,Jawa Timur,Penipuan,28,Laki-laki,Tidak Bekerja,Kecanduan,Selesai
2023-09-04,Jawa Timur,Perampokan,23,Laki-laki,Pelajar,Dendam,Belum Terselesaikan
2022-08-16,DKI Jakarta,Pemerkosaan,34,Laki-laki,Perawat,Ketidaktahuan Hukum,Dalam Proses
2020-05-04,Sumatera Barat,Penganiayaan,32,Perempuan,PNS,Provokasi,Selesai
2024-03-02,Sulawesi Utara,Penipuan,15,Laki-laki,TNI,Tekanan Sosial,Dalam Proses
2024-08-10,DKI Jakarta,Penganiayaan,26,Laki-laki,PNS,Pengaruh Lingkungan,Selesai
2020-04-29,Jawa Timur,Penipuan,23,Laki-laki,Polisi,Keserakahan,Selesai
2021-06-28,Aceh,Pemerkosaan,28,Laki-laki,Wiraswasta,Ekonomi,Dalam Proses
2024-02-12,Jawa Tengah,Penganiayaan,33,Perempuan,Buruh,Kebutuhan Mendesak,Dalam Proses
2020-06-08,Jawa Barat,Pencurian,33,Laki-laki,Petani,Provokasi,Selesai
2020-07-17,Maluku,Pencurian,22,Laki-laki,Buruh,Pengaruh Lingkungan,Selesai
2021-04-18,Jawa Barat,Penipuan,15,Laki-laki,Wiraswasta,Tekanan Sosial,Selesai
2021-01-23,DKI Jakarta,Pencurian Kendaraan Bermotor,19,Laki-laki,Petani,Provokasi,Selesai
2023-09-07,Sumatera Utara,Penganiayaan,40,Laki-laki,Petani,Keserakahan,Selesai
2023-07-04,Sumatera Barat,Pemerkosaan,19,Laki-laki,Pedagang,Provokasi,Selesai
2024-03-14,Sumatera Utara,Perampokan,26,Laki-laki,Wiraswasta,Tekanan Sosial,Selesai
2024-03-08,Sumatera Utara,Penipuan,20,Perempuan,Buruh,Ketidaktahuan Hukum,Dalam Proses
2023-03-26,Sumatera Utara,Penipuan,23,Perempuan,PNS,Ketidaktahuan Hukum,Belum Terselesaikan
2022-07-28,Jawa Barat,Pencurian,27,Laki-laki,Guru,Ketidaktahuan Hukum,Dalam Proses
2022-05-24,Kalimantan Timur,Pembunuhan,25,Laki-laki,TNI,Dendam,Dalam Proses
2020-12-07,Sumatera Utara,Penganiayaan,40,Laki-laki,Perawat,Cemburu,Selesai
2023-01-31,Sumatera Selatan,Penyalahgunaan Narkoba,35,Laki-laki,Mahasiswa,Provokasi,Dalam Proses
2021-11-22,Jawa Timur,Pencurian,38,Laki-laki,Tukang,Cemburu,Selesai
2022-12-29,Sumatera Selatan,Kekerasan Dalam Rumah Tangga,18,Laki-laki,Sopir,Gangguan Mental,Selesai
2021-12-22,Sulawesi Selatan,Pencurian,15,Laki-laki,TNI,Konflik Personal,Dalam Proses
2023-01-31,Sumatera Utara,Pemerkosaan,15,Perempuan,PNS,Konflik Personal,Belum Terselesaikan
2022-04-24,Jawa Barat,Pencurian,24,Laki-laki,Perawat,Ketidaktahuan Hukum,Selesai
2022-05-31,Lampung,Penganiayaan,34,Laki-laki,Polisi,Pengaruh Lingkungan,Selesai
2021-10-24,Maluku,Pembunuhan,25,Perempuan,Sopir,Kecanduan,Selesai
2023-02-27,Sulawesi Selatan,Pencurian,30,Laki-laki,Wiraswasta,Kecanduan,Dalam Proses
2022-02-07,Sumatera Utara,Pencurian,28,Perempuan,Perawat,Provokasi,Selesai
2024-03-04,Sumatera Selatan,Pencurian,27,Laki-laki,Pegawai Swasta,Konflik Personal,Selesai
2022-07-15,Maluku,Penyalahgunaan Narkoba,29,Perempuan,Pelajar,Tekanan Sosial,Selesai
2020-01-01,Sumatera Utara,Pencurian,15,Perempuan,Guru,Ekonomi,Dalam Proses
2021-08-05,Jawa Timur,Pencurian,30,Perempuan,Sopir,Ekonomi,Selesai
2022-11-26,Jawa Barat,Pencurian,39,Laki-laki,Pedagang,Kebutuhan Mendesak,Selesai
2020-01-14,Sumatera Utara,Perampokan,30,Laki-laki,Pegawai Swasta,Kecanduan,Selesai
2021-03-15,Maluku,Pencurian Kendaraan Bermotor,23,Laki-laki,Polisi,Konflik Personal,Selesai
2020-02-14,Aceh,Perampokan,23,Perempuan,Perawat,Pengaruh Lingkungan,Selesai
2024-08-11,Nusa Tenggara Barat,Pembunuhan,24,Laki-laki,Pegawai Swasta,Provokasi,Dalam Proses
2022-11-13,DKI Jakarta,Penipuan,26,Perempuan,Wiraswasta,Keserakahan,Dalam Proses
2023-03-16,Kalimantan Selatan,Pencurian,26,Laki-laki,Pedagang,Dendam,Selesai
2020-03-18,Jawa Barat,Penganiayaan,24,Laki-laki,Pelajar,Konflik Personal,Dalam Proses
2020-11-15,Jawa Barat,Penganiayaan,27,Laki-laki,Pedagang,Kebutuhan Mendesak,Belum Terselesaikan
2022-01-21,Sulawesi Selatan,Penganiayaan,25,Laki-laki,TNI,Keserakahan,Selesai
2021-05-26,Sulawesi Selatan,Pencurian,38,Perempuan,Petani,Kebutuhan Mendesak,Dalam Proses
